Ионизационная камера
720 9
710 25
680 70
660 102
640 132
620 165
600 202
570 249
540 300
510 346
480 404
470 429
450 456
430 494
410 534
390 576
370 611
350 652
330 695
310 735
290 780 
260 845
230 900
200 930
180 940
160 940
140 935
120 935
100 930
80 925
50 915
30 910
0 905

Сцинтилляционный счётчик
720 3602
660 3439
630 3073
640 3276
620 2893
610 2743
600 2534
590 2344
580 2181
570 2034
560 1761
550 1656
540 1370
530 1124
520 920
510 737
500 541
490 370
480 181
470 170
460 60
450 10
420 3
370 2
330 2
260 2
